"","School","Q9","Q10","variable","value"
"1","","JENKINS","BRV","LocationLatitude",39.93409729
"2","","Jenkins","BRV","LocationLatitude",39.93409729
"3","","Jenkins","brv","LocationLatitude",39.93409729
"4","Arlington","Pavey","Arlington Elementary","LocationLatitude",40.04069519
"5","Arlington","Ward","Arlington Elementary","LocationLatitude",39.60319519
"6","Arlington","Ward","Arlington Elementary","LocationLatitude",40.04069519
"7","Arlington","Pavey","Arlington Elementary","LocationLatitude",40.04069519
"8","Arlington","Pavey","Arlington Elementary","LocationLatitude",39.60319519
"9","Arlington","pavey","arlingtong elementry","LocationLatitude",40.04069519
"10","Arlington","pavey","arlionton","LocationLatitude",39.60319519
"11","Arlington","Mrs.ward","Arlington elementary","LocationLatitude",40.04069519
"12","Arlington","pavey","arlinton","LocationLatitude",39.60319519
"13","Arlington","Ward","Arlington Elementary","LocationLatitude",39.60319519
"14","Arlington","Ward","Arlington Elementary School","LocationLatitude",40.04069519
"15","Arlington","Miss ward","Arlington","LocationLatitude",40.04069519
"16","Arlington","ward","arlington elemantery","LocationLatitude",40.04069519
"17","Arlington","Pavey","Arlington Elementary","LocationLatitude",39.60319519
"18","Arlington","word","arlington elementry","LocationLatitude",40.04069519
"19","Arlington","pavey","Arlington elementary","LocationLatitude",39.60319519
"20","Arlington","Ward","Arlington","LocationLatitude",40.04069519
"21","Arlington","ward","Arlington Elementary","LocationLatitude",39.60319519
"22","Arlington","ward","Arlington","LocationLatitude",39.60319519
"23","Arlington","Ward","Arlington","LocationLatitude",40.04069519
"24","Arlington","Pavey","Arlington Elementary School","LocationLatitude",39.60319519
"25","Arlington","pavey","arlington","LocationLatitude",39.60319519
"26","Arlington","Pavey","Arlington Elementary","LocationLatitude",39.60319519
"27","Arlington","ward","arlington","LocationLatitude",40.04069519
"28","Arlington","pavey","Arlington","LocationLatitude",40.04069519
"29","Arlington","Ward","Arlington Elementary","LocationLatitude",39.60319519
"30","Arlington","Mr.pavey","Arlington","LocationLatitude",40.04069519
"31","Arlington","WARD","ARLINGTON","LocationLatitude",40.04069519
"32","Arlington","Pavey","Arligton Elementary","LocationLatitude",40.04069519
"33","Arlington","pavey","Arlington elementary","LocationLatitude",40.04069519
"34","Arlington","Pavey","Arlington-Elementary","LocationLatitude",39.60319519
"35","Arlington","Pavey","Arlington elementary school","LocationLatitude",40.04069519
"36","Arlington","pavey","arlington-elementary","LocationLatitude",40.04069519
"37","Arlington","pavey","Arlington Elementary","LocationLatitude",40.04069519
"38","Arlington","Ward","Arlington","LocationLatitude",40.04069519
"39","BlueRiver","jenkins","brv","LocationLatitude",40.13499451
"40","BlueRiver"," "," ","LocationLatitude",39.93409729
"41","BlueRiver","BURKS","BRV","LocationLatitude",39.93409729
"42","BlueRiver","Becker","Blue River Valley Elementary School","LocationLatitude",39.93409729
"43","BlueRiver","Mrs.Becker","Blue River","LocationLatitude",39.93409729
"44","BlueRiver","williams","brv","LocationLatitude",39.93409729
"45","BlueRiver","Becker","Blue River Vally","LocationLatitude",39.93409729
"46","BlueRiver","burks","brv","LocationLatitude",40.13499451
"47","BlueRiver","Williams","Blue River Ralley","LocationLatitude",39.93409729
"48","BlueRiver","jenkins","brv","LocationLatitude",39.93409729
"49","BlueRiver","BURKS","BRV","LocationLatitude",40.13499451
"50","BlueRiver"," "," ","LocationLatitude",39.93409729
"51","BlueRiver","Williams","BRV","LocationLatitude",39.93409729
"52","BlueRiver","Burks","BRV","LocationLatitude",40.13499451
"53","BlueRiver","becker","blue river valley","LocationLatitude",39.93409729
"54","BlueRiver","burks","brves","LocationLatitude",39.93409729
"55","BlueRiver","Burks","BRV","LocationLatitude",39.93409729
"56","BlueRiver","BURKS","Blue River Valley","LocationLatitude",39.93409729
"57","BlueRiver","williams","BRV","LocationLatitude",40.13499451
"58","BlueRiver","Mrs. williams","Blue river valley","LocationLatitude",39.93409729
"59","BlueRiver","Williams","Blue River Valley","LocationLatitude",39.93409729
"60","BlueRiver","Williams","BRV","LocationLatitude",39.93409729
"61","BlueRiver","Becker","Blue River Valley Elementary School","LocationLatitude",39.93409729
"62","BlueRiver","Mrs bruks","brv","LocationLatitude",39.93409729
"63","BlueRiver","Becker","Blue River Valley","LocationLatitude",39.93409729
"64","BlueRiver","Becker","BlueRiverValley","LocationLatitude",39.93409729
